"For All Companies As of Sep 02, 2025 For All Alberta ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Facility ID,,Facility Subtype,,Surface Location,Location Latitude,Location Longitude,Facility Name,Field or Area,Operator Code,Operator Name,Licence Number,Licence Status,Licence Status Date,Licensee  BA Code,Licensee Name,Licence EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,First Volumetric Activity Date,Last Volumetric Activity Date
ABGP0001036,,Gas Plant Sweet,,00/08-19-036-05W4,52.104863,-110.699331,APACHE PROVOST,PROVOST,A7BT,Karve Energy Inc.,F5331     ,Amended,4-May-10,A7BT,Karve Energy Inc.,B010,29-Mar-01,4-May-10,,"1,413.00",1390,0,0,0,0,52.8,10,0,,,,,1-Jan-91,1-Jul-25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001037,,Gp Sulphur Rcvry,,03/13-13-025-05W5,51.138526,-114.580414,SHELL JUMPING POUND,JUMPING POUND,A5C4,Cavvy Production Ltd.,F3578     ,Amended,15-Dec-16,0T03,Shell Canada Limited,E600,6-Mar-01,15-Dec-16,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Superclaus Process","7,686.00",5832,513.8,0,277.9,207.1,0,335,619,595.5,,23.5,98.4,1-Jan-91,1-Jul-25
ABGP0001038,,Gas Plant Sweet,,/08-36-020-16W4,50.737559,-112.085001,APF ENERGY COUNTESS,COUNTESS,A2PH,Journey Energy Inc.,F2785     ,Amended,9-Jan-20,A2PH,Journey Energy Inc.,B010,1-May-01,9-Jan-20,None,740,704,0,0,0,0,4,0,0,,,,,1-Jan-91,1-Jul-25
ABGP0001039,,Gp Acid Gas Flaring%,,/11-35-013-17W4,50.12936,-112.2229,VISTA MIDSTREAM ENCHANT GGS,ENCHANT,A81C,Campus Energy Partners Operations Inc.,F1200     ,Abandoned,17-Jul-23,A854,Barrel Oil Corp.,C300,12-Feb-01,24-Sep-09,"Regenerative, Acid Gas Flaring",770,760,,,,,75,2,0.99,,,0.99,,1-Jan-91,1-Oct-11
ABGP0001040,,Gp Sulphur Rcvry,,/04-27-020-29W4,50.719723,-113.949138,* CAN OXY OKOTOKS,OKOTOKS,A6LC,CNOOC Petroleum North America ULC,F2874     ,RecCertified,1-Nov-04,A6LC,CNOOC Petroleum North America ULC,E600,6-Mar-01,,None,0,,,,,,,,,,,,,,
ABGP0001041,,Gas Plant Sweet,,00/03-06-024-10W4,51.011001,-111.392512,CESSFORD 3-6-24-10w4,CESSFORD,0HE9,Canadian Natural Resources Limited,F3385     ,Abandoned,25-Feb-21,0HE9,Canadian Natural Resources Limited,B010,1-Mar-01,,None,300,,,,,,,,,,,,,1-Jan-91,1-Dec-05
ABGP0001042,,Gas Plant Sweet,,00/10-10-065-02W6,54.612991,-118.213619,KARR 10-10-065-02W6,KARR,0HE9,Canadian Natural Resources Limited,F14430    ,Amended,16-Dec-14,0HE9,Canadian Natural Resources Limited,B010,27-Feb-01,16-Dec-14,,"3,400.00",3016,0,0,0,0,822,300,0,,,,,1-Jan-91,1-Jul-25
ABGP0001043,,Gas Plant Sweet,,00/13-36-024-21W4,51.094569,-112.816012,HUSSAR-2 13-36-24-21w4,HUSSAR,0HE9,Canadian Natural Resources Limited,F3466     ,Issued,29-Mar-01,A7NW,Torxen Energy Ltd.,B010,29-Mar-01,,None,"1,166.00",,,,,,,,,,,,,1-Jan-91,1-Jul-25
ABGP0001044,,Gas Plant Sweet,,00/12-04-028-20W4,51.367377,-112.767964,ROSEBUD 12-4-28-20w4,WAYNE-ROSEDALE,0HE9,Canadian Natural Resources Limited,F3799     ,Issued,2-Feb-01,A7NW,Torxen Energy Ltd.,B010,2-Feb-01,,,402,,,,,,,,,,,,,1-Jan-91,1-Jul-25
